time,dB
424.4140364,54.02183935
424.5204161,54.03266971
424.6232544,54.06049824
424.7249586,53.98145857
424.829907,53.97242212
424.9363292,53.98637735
425.0386309,54.05580715
425.1422097,54.04210041
425.2451902,54.09336927
425.3473243,53.96932041
425.4520227,53.97532414
425.5560693,54.08957643
425.6581944,54.02270657
425.7599337,54.05508671
425.8646574,54.00139619
425.9673268,54.13534161
426.0735335,54.12777052
426.1755915,52.90743416
426.2773019,52.67073382
426.382033,52.67856626
426.487506,52.80115813
426.5910075,52.70207797
426.6930215,52.77586202
426.7947187,52.68388859
426.9010556,52.69434226
427.0074586,52.63282332
427.1104243,52.75966251
427.2120694,52.81915653
427.3143041,52.72215623
427.4206099,52.64491379
427.5257234,52.61386736
427.6278578,52.8020973
427.7302507,52.89861261
427.8365405,52.72876983
427.9429647,52.73522217
428.0451424,52.65446484
428.14681,52.73166418
428.2533826,52.66205556
428.3586978,52.69731561
428.460487,52.65359896
428.5626203,52.74633576
428.6641798,52.7118274
428.7685539,52.81326441
428.8748168,52.74668183
428.9779827,52.79246555
429.0800795,52.68028427
429.1816639,52.72633244
429.2872957,52.62871196
429.393729,52.67660333
429.4954905,52.75233763
429.5975169,52.6130399
429.699309,52.69907749
429.8056286,52.7515854
429.9120319,52.66767275
430.0148293,52.73860578
430.1166686,52.65990276
430.223017,52.77753929
430.3270709,52.84708794
430.4302275,52.62891373
430.5322861,52.74560413
430.6340153,52.7496307
430.7404164,52.6872616
430.8418735,52.65521112
430.9476768,52.71359229
431.049755,52.62479838
431.1514909,52.57407686
431.2578974,52.5278661
431.364241,52.66299504
431.4670885,52.5842295
431.5688367,52.6498269
431.6752135,52.70276962
431.7785624,52.60005811
431.8824682,52.66659889
431.984611,52.65025168
432.0860952,52.69129567
432.1879686,52.67040149
432.2921869,52.73381697
432.3985762,52.66664406
432.5001565,52.59169105
432.6022468,52.64887228
432.7039852,52.5887595
432.80887,52.54058773
432.9137021,52.60243689
433.0176595,52.62283088
433.1197546,52.68965579
433.225623,52.68946223
433.3270637,52.67023558
433.4323111,52.71749948
433.5351665,52.62672666
433.6371981,52.64740332
433.7422894,48.31476041
433.8490645,48.33567792
433.9525193,48.54506532
434.0588594,48.46021334
434.1651982,48.44944936
434.2696853,48.37837764
434.3755591,48.42884618
434.4819449,48.7598966
434.586835,49.32080065
434.6921992,49.61037746
434.798537,48.79047502
434.9039996,48.6213586
435.0088993,48.54415498
435.1152689,48.63159405
435.2210783,48.71807569
435.324996,48.63347835
435.431165,48.47779927
435.5333873,48.67791939
435.6382805,48.73245138
435.742204,48.97645834
435.8485697,48.85450486
435.9520719,48.83057669
436.0557514,48.64996179
436.1588367,48.67058324
436.2602406,48.62999217
436.3643877,48.76796005
436.4706702,48.85867848
436.5731734,48.62931028
436.67527,48.86600519
436.7769889,48.92134774
436.8833869,48.81548924
436.989023,48.69792442
437.0906923,48.82855005
437.1927639,48.74626503
437.2944738,48.55944175
437.4008708,48.6922504
437.5073352,48.71042031
437.6100682,48.83590428
437.7117584,48.78645683
437.8181955,48.992055
437.9233153,48.95657957
438.0254945,49.00890382
438.1275225,48.98345398
438.2293079,49.04724406
438.3356614,49.04878211
438.4420865,49.03156088
438.544961,48.90665351
438.646561,48.84078838
438.752691,48.87940777
438.8590982,49.0134239
438.9623451,48.88854489
439.063969,48.88581898
439.1703803,48.93320121
439.2751509,48.87844772
439.3776125,48.87923463
439.4797203,48.91391097
439.5814151,48.86822609
439.6878036,48.84349181
439.7935671,48.73644411
439.8950598,48.71821565
439.9971819,48.76018304
440.0989257,48.75234793
440.201817,48.68673183
440.3081166,48.75146957
440.4125984,48.76481406
440.5147019,48.74627793
440.6164385,48.75701448
440.7226035,48.72108107
440.8288724,48.99631343
440.932093,49.34673952
441.0337411,49.04712587
441.1401306,48.84652256
441.2464911,48.40197872
441.3494556,45.96919668
441.4510721,45.84395511
441.5551305,45.96384093
441.6615165,46.11206715
441.7647485,46.21396948
441.866953,46.08716895
441.9685963,46.0993264
442.0749815,45.98081287
442.1812934,46.04797166
442.2822194,46.06313875
442.3844715,45.9456898
442.4860172,45.89797429
442.5869978,45.89281918
442.6933096,45.88774169
442.7996886,46.06710699
442.9019252,45.9360926
443.0036633,46.00438686
443.1100398,45.75532669
443.2164718,45.63774687
443.3193754,45.78199873
443.4210211,45.87034766
443.525926,45.9561799
443.6323243,45.95973658
443.7386457,45.75330388
443.8451775,45.83302743
443.9515579,46.11718898
444.055905,46.04708664
444.1623504,46.03070873
444.268733,45.85826139
444.3731465,45.82297198
444.4793796,46.03750783
444.5857274,46.06065485
444.6902692,46.10318245
444.7965278,46.29788249
444.9028482,46.35833896
445.0076526,46.34219938
445.1139961,46.27483993
445.2185283,46.46656582
445.3247103,46.51763999
445.4310861,46.4376296
445.5374584,46.37439909
445.6418032,46.20368501
445.7481922,46.15089563
445.8545534,46.1146924
445.9589334,46.45722396
446.0653265,46.33780152
446.1717193,46.37472168
446.2760933,46.58674547
446.3823154,46.41776292
446.4877545,46.62437164
446.5932866,46.62103205
446.6997007,46.55382644
446.8060312,46.3493086
446.9104801,46.58446836
447.0128394,46.47834019
447.1192067,46.58699201
447.2239101,46.61407445
447.3278092,46.69207074
447.4341203,46.75231459
447.5404155,46.4930888
447.6450201,46.30346652
447.7514191,46.33890741
447.8552185,46.37846194
447.9584125,46.44724251
448.0623849,46.14149136
448.1687597,46.20634085
448.2751185,46.32574257
448.379516,46.44485528
448.4858781,46.4524244
448.5922662,46.33385228
448.6967095,46.52814604
448.8030938,46.41685027
448.9051824,46.50006044
449.0101301,46.40624289
449.114124,46.3793332
449.2199331,46.42226532
449.3247075,49.30003834
449.4273035,49.5700121
449.5313984,49.47050152
449.6377741,49.53222049
449.7414079,49.50769424
449.8446035,49.53346676
449.9487803,49.50307624
450.0551375,49.65443078
450.1615434,49.50559357
450.2659593,49.55301183
450.3724126,49.47754173
450.4787805,49.43844687
450.5831396,49.46353474
450.6886602,49.53193227
450.794793,49.65912523
450.9003,49.61951274
451.0065756,49.60834127
451.1129131,49.61165893
451.2175179,49.70530183
451.323904,49.68657538
451.430305,49.69736932
451.5347015,49.61098851
451.6411899,49.61678852
451.743535,49.68958693
451.8480572,49.6586744
451.9542445,49.63354816
452.0606847,50.08528366
452.1653091,49.99871748
452.2691389,49.94033541
452.374996,49.83835403
452.481426,49.67177921
452.58641,49.72504508
452.6928086,49.69522757
452.7991714,49.56091002
452.903571,49.58624702
453.0099538,49.54648117
453.1162761,49.69113326
453.2207478,49.65161519
453.3225554,49.66324493
453.4289636,49.69156918
453.5339712,49.73728518
453.6361453,49.7101129
453.7378131,49.74419937
453.8427477,49.65482653
453.9490877,49.75200384
454.051453,49.75872789
454.1536496,49.67859653
454.2553696,49.61203835
454.3617296,49.73581222
454.4649225,49.75854921
454.5691245,49.77076994
454.6711682,49.67294823
454.7729146,49.61623035
454.8738469,49.61784268
454.9756947,49.65101635
455.0820229,49.55065962
455.1868084,49.5791055
455.2887811,49.60282294
