time,xaccelerometer,yaccelerometer,zaccelerometer,force
2.62,0.0420480861,-10.5019847276,-0.0207946173,-1.2719859126
2.63,0.0184825914,-10.2777162511,-0.0192132166,-1.2324196086
2.64,-0.0013700736,-10.0501996571,-0.0052906341,-1.1910548362
2.65,-0.0153327681,-9.8264132836,0.0161720202,-1.1496900639
2.66,-0.0282050187,-9.6026410021,0.0467623632,-1.1083252915
2.67,-0.0389365315,-9.3810072605,0.0822042429,-1.0669605191
2.68,-0.0395104394,-9.155639065,0.114452411,-1.0255957467
2.69,-0.0363072277,-8.9302569797,0.1488297881,-0.9842309744
2.7,-0.0314875499,-8.7011323592,0.174115075,-0.942866202
2.71,-0.0266619588,-8.4719939511,0.194013757,-0.8997029613
2.72,-0.0154257297,-8.2535488727,0.2069337344,-0.8601366573
2.73,-0.0052344733,-8.0426283992,0.2101925225,-0.82416729
2.74,0.0065555845,-7.8370820594,0.2091335552,-0.7881979227
2.75,0.0167487464,-7.6427835968,0.1989583963,-0.7522285554
2.76,0.0264018526,-7.4581503154,0.1828615532,-0.7180576565
2.77,0.0333817558,-7.2879887023,0.1613900097,-0.6892821627
2.78,0.0392835263,-7.132316126,0.1350810507,-0.6605066689
2.79,0.0430443934,-6.9991532898,0.1060780352,-0.6353281118
2.8,0.0430577027,-6.8842511708,0.0776008269,-0.6155449598
2.81,0.0414548577,-6.7891986681,0.0539438684,-0.5975602761
2.82,0.0393120407,-6.7150709528,0.0303039984,-0.5795755925
2.83,0.0334272718,-6.6650802544,0.008270284,-0.566986314
2.84,0.028597937,-6.6397726507,-0.0067976884,-0.5579939721
2.85,0.0227037363,-6.6375457577,-0.0164872621,-0.5543970354
2.86,0.0152028567,-6.6605329806,-0.0191978618,-0.5508000987
2.87,0.0044904681,-6.7066027266,-0.0154592838,-0.552598567
2.88,-0.0035614158,-6.7720041285,-0.0009900602,-0.5561955038
2.89,-0.0100010545,-6.8593980786,0.0156579079,-0.5615909089
2.9,-0.0159008254,-6.9693286091,0.0339195481,-0.5705832507
2.91,-0.0191270302,-7.0975192268,0.0607536779,-0.5849709976
2.92,-0.0196723246,-7.2386072488,0.0902943539,-0.6011572129
2.93,-0.0196741422,-7.3952483764,0.1193087168,-0.6209403649
2.94,-0.0153992277,-7.5642428729,0.1472503479,-0.6407235169
2.95,-0.0095067112,-7.7413012934,0.1725110456,-0.665902074
2.96,0.0012006082,-7.9258743107,0.1924080339,-0.6928790994
2.97,0.0145960319,-8.1200994285,0.206396797,-0.7216545932
2.98,0.0258628675,-8.3186355084,0.2139400549,-0.7540270238
2.99,0.0397945242,-8.519325243,0.2118231078,-0.7881979227
3,0.0553382867,-8.7333932368,0.2011061922,-0.82416729
3.01,0.0687497509,-8.9555284105,0.184470359,-0.8601366573
3.02,0.0805509008,-9.1718067034,0.1603179997,-0.8979044929
3.03,0.0902090891,-9.3934141944,0.1291793039,-0.9392692653
3.04,0.0977225524,-9.6171787392,0.096411171,-0.9788355693
3.05,0.1030912913,-9.8495082745,0.0641732918,-1.0202003417
3.06,0.1015053963,-10.0872145621,0.0324726893,-1.061565114
3.07,0.0972246706,-10.3297522276,0.0055936034,-1.101131418
3.08,0.0897285957,-10.5739101803,-0.0100235848,-1.1424961904
3.09,0.0795498882,-10.8089800645,-0.0175712595,-1.1820624944
3.1,0.0688281046,-11.0424158934,-0.014382088,-1.2234272668
3.11,0.0565012171,-11.2785210859,-0.0015185387,-1.2629935708
3.12,0.0447036587,-11.5017969193,0.0242292874,-1.2989629381
3.13,0.0350457001,-11.7180777814,0.0580516209,-1.3349323053
3.14,0.0280669418,-11.9204284617,0.0945773778,-1.3691032042
3.15,0.0259070194,-12.1018727363,0.1337895016,-1.4014756348
3.16,0.0280382303,-12.2634584022,0.1735456761,-1.4338480653
3.17,0.0355278705,-12.4041189693,0.2063409435,-1.4608250908
3.18,0.0467758132,-12.5233161214,0.2305448834,-1.4860036479
3.19,0.0607080064,-12.6189083796,0.2434744719,-1.5075852683
3.2,0.0773210986,-12.6871443528,0.2456569158,-1.5255699519
3.21,0.092873486,-12.7365717119,0.2349514712,-1.5417561672
3.22,0.1073535128,-12.7629373998,0.2118870764,-1.5561439141
3.23,0.1180885546,-12.7619483645,0.1818215475,-1.5651362559
3.24,0.1266739278,-12.7442908747,0.144235848,-1.5723301294
3.25,0.1315109771,-12.7105329367,0.1018064516,-1.5741285977
3.26,0.1320602291,-12.661211185,0.0631116812,-1.5759270661
3.27,0.1267164103,-12.6016771694,0.0313916347,-1.5723301294
3.28,0.1176128168,-12.5330172429,0.0039779392,-1.5651362559
3.29,0.1058250773,-12.4573746709,-0.0094959637,-1.5561439141
3.3,0.0934946796,-12.3699409116,-0.0122146693,-1.5453531039
3.31,0.080093539,-12.2723064062,-0.0020452999,-1.5291668886
3.32,0.0682928861,-12.1666160648,0.0231612528,-1.511182205
3.33,0.055427902,-12.0507362561,0.0553764782,-1.4896005846
3.34,0.0452326106,-11.9182402623,0.0940405775,-1.4662204959
3.35,0.0371836317,-11.7728540674,0.1316525158,-1.4392434704
3.36,0.0371393365,-11.7719203493,0.1318696558,-1.4104679766
3.3600589971,0.030189632,-11.60124308,0.1677604144,-1.3798940144
3.3700294985,0.0275103563,-11.2020757719,0.226788459,-1.3457231155
3.39,0.0301817932,-10.980488929,0.2418587405,-1.3097537482
3.4,0.0366049091,-10.7492333889,0.2461883014,-1.2719859126
3.41,0.042504388,-10.5008277998,0.2354868062,-1.234218077
3.42,0.0473330725,-10.2389956264,0.2193843945,-1.1964502413
3.43,0.0521586395,-9.9728439407,0.1920164482,-1.1568839373
3.44,0.0553803328,-9.7034694029,0.1640800852,-1.1155191649
3.45,0.0596666349,-9.4431818425,0.1307849781,-1.0759528609
3.46,0.0612828607,-9.1850609009,0.096402942,-1.0345880886
3.47,0.0607528319,-8.9344373088,0.0625535478,-0.9950217846
3.48,0.0580780898,-8.6913264854,0.0351344842,-0.9554554806
3.49,0.0511200488,-8.4589389828,0.0141626841,-0.9176876449
3.5,0.043615137,-8.2437051576,0.0012453702,-0.8781213409
3.51,0.0355740474,-8.0440380506,-0.0089703212,-0.8403535053
3.52,0.0275314391,-7.8610032964,-0.0041774102,-0.804384138
3.53,0.0194888313,-7.691393277,0.0038725201,-0.7720117074
3.54,0.0098422206,-7.5351988951,0.018896387,-0.7378408085
3.55,0.0007257639,-7.397236209,0.0409047836,-0.7072668463
3.56,-0.0083891904,-7.2743080507,0.0682904093,-0.6802898209
3.57,-0.0175041444,-7.1674756517,0.0956910413,-0.6551112638
3.58,-0.0250150449,-7.0762068774,0.1214843475,-0.6317311751
3.59,-0.0293133461,-6.9994299624,0.1478089544,-0.6119480231
3.6,-0.0303945804,-6.9360716466,0.1757423976,-0.5939633394
3.61,-0.0314669277,-6.8877343829,0.1913571882,-0.5813740609
3.62,-0.0309351731,-6.8570983493,0.2069379364,-0.5687847823
3.63,-0.0282601808,-6.8420303327,0.2166249369,-0.5633893772
3.64,-0.0250446041,-6.8398486615,0.2166513599,-0.5597924405
3.65,-0.0218275626,-6.8558975685,0.2102217218,-0.5579939721
3.66,-0.0143327887,-6.8864455759,0.2000238668,-0.5597924405
3.67,-0.0089652411,-6.9304121138,0.1849934929,-0.5651878456
3.68,-0.0030687815,-6.9920756269,0.1619127908,-0.5741801874
3.69,0.0033638553,-7.074123618,0.1345237575,-0.586769466
3.7,0.0103326692,-7.1717467339,0.113553013,-0.5993587445
3.71,0.0167681882,-7.2838615911,0.0861696813,-0.6173434281
3.72,0.0221327898,-7.4131412317,0.058769066,-0.6371265801
3.73,0.0264250367,-7.5622687948,0.0361909598,-0.6605066689
3.74,0.0328534135,-7.7253643255,0.0200558052,-0.685685226
3.75,0.0323357289,-7.9040176729,0.0050094816,-0.7126622514
3.76,0.035008085,-8.0987683176,0.0012187652,-0.7432362136
3.77,0.0350151585,-8.3096176812,0.0028163899,-0.7774071125
3.78,0.0328761092,-8.5376361787,0.0156811032,-0.8115780114
3.79,0.031266182,-8.7764040964,0.0296472204,-0.8493458471
3.8,0.0291228925,-9.023228409,0.0527257834,-0.8871136827
3.81,0.0269781994,-9.2770316351,0.0833303514,-0.9266799867
3.82,0.0259030604,-9.5329939581,0.1160980279,-0.9680447591
3.83,0.0269698362,-9.7916379945,0.1488712998,-1.0094095315
3.84,0.0301813192,-10.0535003718,0.1816445705,-1.0507743038
3.85,0.0328635706,-10.308948277,0.2053079069,-1.0921390762
3.86,0.0355444364,-10.5558157381,0.2278758775,-1.1335038486
3.87,0.0414340711,-10.7839276347,0.2359721687,-1.1748686209
3.88,0.0489363705,-11.0007511113,0.2370646109,-1.214434925
3.89,0.0585820014,-11.2095169686,0.227421293,-1.254001229
3.9,0.0687679224,-11.402204694,0.2064966768,-1.2917690646
3.91,0.0789552109,-11.582005231,0.1769688869,-1.3259399635
3.92,0.0853988135,-11.7446447291,0.1404524859,-1.3601108624
3.93,0.0934373369,-11.8901122664,0.1055260783,-1.392483293
3.94,0.098805837,-12.0205489047,0.0695319326,-1.4230572552
3.95,0.1030979222,-12.1439891062,0.0378223804,-1.4482358123
3.96,0.104713177,-12.2604531982,0.0141624048,-1.471615901
3.97,0.1047172084,-12.3651237048,0.0007051581,-1.4949959897
3.98,0.1004385482,-12.4601296065,-0.0014721144,-1.5147791417
3.99,0.0972188364,-12.5460115658,0.0092410594,-1.530965357
4,0.0918624422,-12.6184886438,0.0333846377,-1.5471515723
4.01,0.087570398,-12.6812971552,0.0672084262,-1.5579423825
4.02,0.0816764777,-12.7258817773,0.1026640204,-1.5669347243
4.03,0.0768482741,-12.7586447468,0.1418751818,-1.5723301294
4.04,0.0746969795,-12.7646136528,0.1794877989,-1.5759270661
4.05,0.0730871436,-12.744822001,0.2112010356,-1.5759270661
4.06,0.0698740491,-12.7056960936,0.2359324068,-1.5687331926
4.07,0.0698661835,-12.6413633671,0.2509995093,-1.5615393192
4.08,0.0677267232,-12.5544859113,0.2531800243,-1.550748509
4.09,0.0687912415,-12.4456056028,0.2397862759,-1.5345622937
4.1,0.0709333297,-12.3136531172,0.2177792225,-1.5183760784
4.11,0.0730780207,-12.1650496919,0.1877118242,-1.4985929264
4.12,0.0768273446,-11.9939223976,0.1533371653,-1.4734143694
4.13,0.0795107921,-11.8104281524,0.1152003239,-1.4482358123
4.14,0.0821916557,-11.6129855952,0.079734295,-1.4212587868
4.15,0.0832678584,-11.4031968468,0.0453466801,-1.392483293
4.16,0.0832704238,-11.1890958183,0.0179293945,-1.3601108624
4.17,0.0832704238,-10.9669544393,0.0017844814,-1.3259399635
4.18,0.0827355278,-10.7442585135,-0.0020058036,-1.2899705962
4.19,0.0784550617,-10.5231673514,0.0001292232,-1.2504042922
4.2,0.0730958766,-10.2961911897,0.0135341409,-1.2108379882
4.21,0.0671992455,-10.0702717484,0.0366137222,-1.1730701526
4.22,0.061301347,-9.8395366635,0.0645401561,-1.1317053802
4.23,0.0527288937,-9.6157498358,0.0940859994,-1.0903406078
4.24,0.0468247024,-9.3957269483,0.125243649,-1.0507743038
4.25,0.0409268044,-9.1741067952,0.154797058,-1.0112079998
4.26,0.0366336659,-8.9573011705,0.1789865837,-0.9716416958
4.27,0.0285998268,-8.7356885163,0.1956593644,-0.9338738602
4.28,0.024836644,-8.5151353533,0.2069544457,-0.8979044929
4.29,0.0248279358,-8.306362932,0.2112687791,-0.8619351256
