time,xaccelerometer,yaccelerometer,zaccelerometer,force
8.2100121507,-0.1024281797,-8.4731253291,-0.0496178697,-1.7977755805
8.2200121359,-0.0829430766,-8.1667713754,-0.0397790776,-1.7429008069
8.2300121212,-0.0443917342,-7.8933439392,-0.0494410845,-1.7063176244
8.2400121065,-0.0153039254,-7.667740515,-0.0203133312,-1.6697344419
8.2500120919,-0.010293601,-7.4472405551,-0.0103688759,-1.6331512595
8.2600120773,0.0281539843,-7.2362916579,0.0237669173,-1.5782764858
8.2700120627,0.0332333131,-7.0587199546,0.0386127347,-1.5416933033
8.2800120482,0.042871356,-6.8813890358,0.0484512718,-1.5234017121
8.2900120337,0.0285354263,-6.7183333574,0.0728544846,-1.4868185297
8.3000120192,0.0284316674,-6.6077236115,0.0924963369,-1.4685269384
8.3100120048,0.0236298569,-6.5260418475,0.1072364475,-1.4502353472
8.3200119904,0.0043879468,-6.4635996235,0.1511419217,-1.431943756
8.330011976,-0.014957475,-6.4155698966,0.1465895091,-1.4136521647
8.3400119617,-0.0150951636,-6.4152287801,0.1319541857,-1.3953605735
8.3500119474,-0.0343030591,-6.4009528132,0.1367165013,-1.3953605735
8.3600119332,-0.0728565376,-6.4294028956,0.1416182004,-1.3953605735
8.370011919,-0.0875371033,-6.4724354636,0.1319190929,-1.3953605735
8.3800119048,-0.1068482635,-6.4917761226,0.1221156951,-1.3953605735
8.3900118906,-0.1165894117,-6.5728116361,0.0928442284,-1.4136521647
8.4000118765,-0.135866473,-6.6542879846,0.0731681522,-1.4136521647
8.4100118624,-0.1600141077,-6.7595588094,0.0535613577,-1.4502353472
8.4200118483,-0.1361733205,-6.8887934619,0.0096188674,-1.4685269384
8.4300118343,-0.1504099155,-7.0753047643,-0.0101605199,-1.4868185297
8.4400118203,-0.1409072998,-7.1908358648,-0.0297673132,-1.5234017121
8.4500118064,-0.1648512198,-7.3629699307,-0.0591086269,-1.5599848946
8.4600117925,-0.1458112544,-7.5450262464,-0.0885188158,-1.596568077
8.4700117786,-0.126465838,-7.7033541637,-0.0984596415,-1.6148596683
8.4800117647,-0.1311328928,-7.9329016787,-0.0985282762,-1.6697344419
8.4900117509,-0.1023515118,-8.1629525053,-0.0936608556,-1.7063176244
8.5000117371,-0.0877411073,-8.4215588227,-0.0790242372,-1.7611923981
8.5100117233,-0.0588242099,-8.6184952485,-0.0497166439,-1.7977755805
8.5200117096,-0.0490166925,-8.8959055402,-0.0349090775,-1.8526503542
8.5300116959,-0.0441466754,-9.1929210632,0.0187366488,-1.9075251279
8.5400116822,-0.0200994058,-9.4329571717,0.0726553203,-1.9441083104
8.5500116686,-0.0055231746,-9.7011500772,0.1119710166,-1.9989830841
8.560011655,-0.0198309543,-9.9838211157,0.126846108,-2.0538578577
8.5700116414,-0.0199314782,-10.3284656301,0.1610221452,-2.1087326314
8.5800116279,-0.024734362,-10.6402249104,0.1904662489,-2.1636074051
8.5900116144,-0.0439794819,-10.8660792945,0.195537358,-2.2184821788
8.6000116009,-0.0777337757,-11.1484529518,0.2053069083,-2.2550653613
8.6100115875,-0.1019822478,-11.426464025,0.1907708407,-2.2916485437
8.6200115741,-0.1309670488,-11.6711240748,0.1711978197,-2.3465233174
8.6300115607,-0.1551820896,-11.9631504859,0.1223832157,-2.3831064999
8.6400115473,-0.1985763058,-12.1793501068,0.0782342588,-2.4196896823
8.650011534,-0.1940719658,-12.3712235811,0.0341189911,-2.474564456
8.6600115207,-0.2084483698,-12.5296135238,-0.000260106,-2.4928560472
8.6700115075,-0.2325638806,-12.6782536201,-0.0443082262,-2.5294392297
8.6800114943,-0.232729319,-12.8315879951,-0.0786871687,-2.5477308209
8.6900114811,-0.2375326211,-12.9373554371,-0.093526243,-2.5843140034
8.7000114679,-0.2039422557,-13.0427953588,-0.0887583806,-2.6026055946
8.7100114548,-0.179694546,-13.1101549089,-0.0643835827,-2.6208971858
8.7200114416,-0.1459059575,-13.1534526223,-0.0398751037,-2.6391887771
8.7300114286,-0.1264618499,-13.2013472536,0.0187118327,-2.6391887771
8.7400114155,-0.0879024874,-13.2016729175,0.0434534588,-2.6391887771
8.7500114025,-0.0588187261,-13.1969127237,0.1069093477,-2.6574803683
8.7600113895,-0.0298006167,-13.1730790788,0.160894461,-2.6574803683
8.7700113766,-0.0344077072,-13.1491154632,0.2245501128,-2.6391887771
8.7800113636,-0.0104222381,-13.0965900268,0.2103755333,-2.6391887771
8.7900113507,-0.0150625226,-13.0248287144,0.2248819031,-2.6208971858
8.8000113379,-0.0343100044,-12.9386567423,0.21037531,-2.6026055946
8.810011325,-0.0680666494,-12.8333460817,0.1956702248,-2.5843140034
8.8200113122,-0.0827059737,-12.6993434894,0.1760964528,-2.5660224121
8.8300112994,-0.1020188464,-12.5699077404,0.1370147769,-2.5294392297
8.8400112867,-0.1501873865,-12.4357437105,0.0978012185,-2.4928560472
8.850011274,-0.1793353255,-12.2539419132,0.0488500654,-2.4562728648
8.8600112613,-0.1939416444,-12.0718184621,0.0193084565,-2.4196896823
8.8700112486,-0.2036467317,-11.8087643306,-0.0149705818,-2.3831064999
8.880011236,-0.2133194329,-11.5642072641,-0.0395446282,-2.3282317262
8.8900112233,-0.2037759875,-11.3388212331,-0.0591841562,-2.2916485437
8.9000112108,-0.2037114316,-11.0945203542,-0.069052973,-2.23677377
8.9100111982,-0.1700826738,-10.83580922,-0.0593802954,-2.1818989963
8.9200111857,-0.1602489417,-10.5627198178,-0.0398388017,-2.1453158139
8.9300111732,-0.1409678822,-10.2847738313,0.018720685,-2.1087326314
8.9400111607,-0.1120140515,-9.9687089556,0.0385880142,-2.0538578577
8.9500111483,-0.0733874501,-9.6666720598,0.0484564683,-1.9989830841
8.9600111359,-0.0635223664,-9.4171010142,0.0777366425,-1.9441083104
8.9700111235,-0.0298280601,-9.1393136032,0.107146805,-1.9075251279
8.9800111111,-0.0296041073,-8.8422916916,0.1414262352,-1.8709419455
8.9900110988,-0.0103865405,-8.5737092761,0.1659994828,-1.8160671718
9.0000110865,-0.0054544223,-8.3338834017,0.1466838963,-1.7611923981
9.0100110742,-0.0150314581,-8.0799639771,0.1611627463,-1.7246092156
